Date,Drive,TotalSizeGB,UsedSpaceGB,FreeSpaceGB,FreeSpacePercent
9/1/2025 9:54,C:,199.46,90.76,108.7,54.5
9/1/2025 9:54,D:,96,20.24,75.76,78.92
9/1/2025 9:54,E:,2499.98,2370.28,129.7,5.19
9/1/2025 9:54,L:,2048,1173.73,874.27,42.69
10/1/2025 10:17,C:,199.46,94.38,105.08,52.68
10/1/2025 10:17,D:,96,20.24,75.76,78.92
10/1/2025 10:17,E:,2499.98,2374.73,125.25,5.01
10/1/2025 10:17,L:,2048,1175.89,872.11,42.58
11/1/2025 13:30,C:,199.46,110.02,89.44,44.84
11/1/2025 13:30,D:,96,21.05,74.95,78.07
11/1/2025 13:30,E:,2499.98,2401.1,98.88,3.96
11/1/2025 13:30,L:,2048,1203.7,844.3,41.23
